,track_n,track_title,album_name,lyric,lyric2
0,1,Tim McGraw,Taylor Swift,said way blue eye shined put georgia star shame night said lie boy chevy truck tendency gettin stuck back road night wa right beside summer long time woke find summer gone think tim mcgraw hope think favorite song one danced night long moon like spotlight lake think happiness hope think little black dress think head chest old faded blue jean think tim mcgraw hope think september saw month tear thankin god werent see like box beneath bed letter never read three summer back it hard find little bittersweet lookin back it nice believe think tim mcgraw hope think favorite song one danced night long moon like spotlight lake think happiness hope think little black dress think head chest old faded blue jean think tim mcgraw hope think back first time since standin street there letter left doorstep first thing read think tim mcgraw hope think favorite song someday turn radio hope take back place think happiness hope think little black dress think head chest old faded blue jean think tim mcgraw hope think think said way blue eye shined put georgia star shame night said lie,said way blue eye shined put georgia star shame night said lie boy chevy truck tendency gettin stuck back road night wa right beside summer long time woke find summer gone think tim mcgraw hope think favorite song one danced night long moon like spotlight lake think happiness hope think little black dress think head chest old faded blue jean think tim mcgraw hope think september saw month tear thankin god werent see like box beneath bed letter never read three summer back it hard find little bittersweet lookin back it nice believe think tim mcgraw hope think favorite song one danced night long moon like spotlight lake think happiness hope think little black dress think head chest old faded blue jean think tim mcgraw hope think back first time since standin street there letter left doorstep first thing read think tim mcgraw hope think favorite song someday turn radio hope take back place think happiness hope think little black dress think head chest old faded blue jean think tim mcgraw hope think think said way blue eye shined put georgia star shame night said lie
1,2,Picture To Burn,Taylor Swift,state obvious get perfect fantasy realize love ever love go tell friend obsessive crazy fine tell mine gay way hate stupid old pickup truck never let drive redneck heartbreak who really bad lying watch strike match wasted time a far a concerned another picture burn there time tear sitting planning revenge there nothing stopping going best friend come around saying sorry daddy gonna show sorry cause hate stupid old pickup truck never let drive redneck heartbreak who really bad lying watch strike match wasted time a far a concerned another picture burn missing better keep cause coming back around would bad health cause hate stupid old pickup truck never let drive redneck heartbreak who really bad lying watch strike match wasted time case havent heard really really hate stupid old pickup truck never let drive redneck heartbreak who really bad lying watch strike match wasted time a far a concerned another picture burn burn burn burn baby burn another picture burn baby burn,state obvious get perfect fantasy realize love ever love go tell friend obsessive crazy fine tell mine gay way hate stupid old pickup truck never let drive redneck heartbreak who really bad lying watch strike match wasted time a far a concerned another picture burn there time tear sitting planning revenge there nothing stopping going best friend come around saying sorry daddy gonna show sorry cause hate stupid old pickup truck never let drive redneck heartbreak who really bad lying watch strike match wasted time a far a concerned another picture burn missing better keep cause coming back around would bad health cause hate stupid old pickup truck never let drive redneck heartbreak who really bad lying watch strike match wasted time case havent heard really really hate stupid old pickup truck never let drive redneck heartbreak who really bad lying watch strike match wasted time a far a concerned another picture burn burn burn burn baby burn another picture burn baby burn
2,3,Teardrops On My Guitar,Taylor Swift,drew look fake smile see want needing everything bet shes beautiful girl talk shes got everything live without drew talk laugh cause it funny even see anyone he say he love he finally got right wonder know he think night he reason teardrop guitar thing keep wishing wishing star he song car keep singing know drew walk tell breathe go perfectly kind flawless wish shed better hold tight give love look beautiful eye know shes lucky cause he reason teardrop guitar thing keep wishing wishing star he song car keep singing know drive home alone a turn light put picture maybe get sleep tonight cause he reason teardrop guitar one who got enough break heart he song car keep singing know he time taken there never enough he need fall drew look fake smile see,drew look fake smile see want needing everything bet shes beautiful girl talk shes got everything live without drew talk laugh cause it funny even see anyone he say he love he finally got right wonder know he think night he reason teardrop guitar thing keep wishing wishing star he song car keep singing know drew walk tell breathe go perfectly kind flawless wish shed better hold tight give love look beautiful eye know shes lucky cause he reason teardrop guitar thing keep wishing wishing star he song car keep singing know drive home alone a turn light put picture maybe get sleep tonight cause he reason teardrop guitar one who got enough break heart he song car keep singing know he time taken there never enough he need fall drew look fake smile see
3,4,A Place In This World,Taylor Swift,know want ask cause still trying figure know whats road walking trying see rain coming even though one feel way alone know strong wrong life go girl trying find place world got radio old blue jean wearing heart sleeve feeling lucky today got sunshine tell need tomorrow mystery ok alone know strong wrong life go girl trying find place world maybe girl mission ready fly alone know strong wrong life go alone know girl trying find place world girl girl girl,know want ask cause still trying figure know whats road walking trying see rain coming even though one feel way alone know strong wrong life go girl trying find place world got radio old blue jean wearing heart sleeve feeling lucky today got sunshine tell need tomorrow mystery ok alone know strong wrong life go girl trying find place world maybe girl mission ready fly alone know strong wrong life go alone know girl trying find place world girl girl girl
4,5,Cold As You,Taylor Swift,way coming easily take take best start fight cause need feel something want cause wanted shame rainy ending given perfect day walk away use defending word never say sitting thinking never anywhere cold a put wall paint shade gray stood loving wished away come away great little story mess dreamer nerve adore shame rainy ending given perfect day walk away use defending word never say sitting thinking never anywhere cold a never give damn thing honey cried cried know told nobody died died died shame rainy ending given perfect day every smile fake condescending counting scar made sitting thinking never anywhere cold a,way coming easily take take best start fight cause need feel something want cause wanted shame rainy ending given perfect day walk away use defending word never say sitting thinking never anywhere cold a put wall paint shade gray stood loving wished away come away great little story mess dreamer nerve adore shame rainy ending given perfect day walk away use defending word never say sitting thinking never anywhere cold a never give damn thing honey cried cried know told nobody died died died shame rainy ending given perfect day every smile fake condescending counting scar made sitting thinking never anywhere cold a
5,6,The Outside,Taylor Swift,know would find went looking reason know read line baby got nowhere go tried take road le traveled nothing seems work first time right ever try better nobody ever let still see best view outside looking lot lonely place never outside saw never knew would give part part it late see helped wanted one notice it late anything ever try better nobody ever let still see best view outside looking lot lonely place never outside ever try better nobody ever let still see best view outside looking lot lonely place never outside,know would find went looking reason know read line baby got nowhere go tried take road le traveled nothing seems work first time right ever try better nobody ever let still see best view outside looking lot lonely place never outside saw never knew would give part part it late see helped wanted one notice it late anything ever try better nobody ever let still see best view outside looking lot lonely place never outside ever try better nobody ever let still see best view outside looking lot lonely place never outside
6,7,Tied Together With A Smile,Taylor Swift,seems one see beauty face mirror looking back walk around thinking pretty true cause know hold baby losing water high jumping letting go one know cry tell anyone might golden one tied together smile coming undone guess it true love wa wanted cause giving away like it extra change hoping end pocket leaf like penny rain cause it price pay it price pay hold baby losing water high jumping letting go one know cry tell anyone might golden one tied together smile coming undone hold baby losing water high jumping letting go one know cry tell anyone might golden one tied together smile coming undone tied together smile coming undone goodbye baby smile baby baby,seems one see beauty face mirror looking back walk around thinking pretty true cause know hold baby losing water high jumping letting go one know cry tell anyone might golden one tied together smile coming undone guess it true love wa wanted cause giving away like it extra change hoping end pocket leaf like penny rain cause it price pay it price pay hold baby losing water high jumping letting go one know cry tell anyone might golden one tied together smile coming undone hold baby losing water high jumping letting go one know cry tell anyone might golden one tied together smile coming undone tied together smile coming undone goodbye baby smile baby baby
7,8,Stay Beautiful,Taylor Swift,corys eye like jungle smile it like radio whisper song window word nobody know there pretty girl every corner watch a he walking home saying doe know ever know beautiful every little piece love know really gonna someone ask anyone find everything looked hope life lead back door stay beautiful cory find another way highlight day taking picture mind save rainy day it hard make conversation he taking breath away say hey way beautiful every little piece love know really gonna someone ask anyone find everything looked hope life lead back door stay beautiful story never get told daydream never get hold least know beautiful every little piece love know really gonna someone ask anyone find everything looked hope life lead back front door stay beautiful beautiful beautiful beautiful beautiful beautiful stay beautiful stay beautiful,corys eye like jungle smile it like radio whisper song window word nobody know there pretty girl every corner watch a he walking home saying doe know ever know beautiful every little piece love know really gonna someone ask anyone find everything looked hope life lead back door stay beautiful cory find another way highlight day taking picture mind save rainy day it hard make conversation he taking breath away say hey way beautiful every little piece love know really gonna someone ask anyone find everything looked hope life lead back door stay beautiful story never get told daydream never get hold least know beautiful every little piece love know really gonna someone ask anyone find everything looked hope life lead back front door stay beautiful beautiful beautiful beautiful beautiful beautiful stay beautiful stay beautiful
8,9,Should've Said No,Taylor Swift,it strange think song used sing smile flower everything gone yesterday found even looking feel wrong say take back given one chance wa moment weakness said yes said gone home thought twice fore let go known word bout herd get back get back back mind asking begging forgiveness foot said baby might still see cry baby know right thing say honestly expect believe ever say past past need one chance wa moment weakness said yes said gone home thought twice fore let go known word bout herd get back get back back mind asking begging forgiveness foot said baby might still resist go tell wa worth wa worth said gone home thought twice fore let go known word bout herd get back get back back mind asking begging forgiveness foot said baby might still,it strange think song used sing smile flower everything gone yesterday found even looking feel wrong say take back given one chance wa moment weakness said yes said gone home thought twice fore let go known word bout herd get back get back back mind asking begging forgiveness foot said baby might still see cry baby know right thing say honestly expect believe ever say past past need one chance wa moment weakness said yes said gone home thought twice fore let go known word bout herd get back get back back mind asking begging forgiveness foot said baby might still resist go tell wa worth wa worth said gone home thought twice fore let go known word bout herd get back get back back mind asking begging forgiveness foot said baby might still
9,10,Mary’s Song (Oh My My My),Taylor Swift,said wa seven nine looked like star shined sky pretty light daddy used joke two u growing falling love mama smiled rolled eye said take back house backyard tree said beat bigger never never take back world wa one block wide dared kiss ran tried two kid well wa sixteen suddenly little girl used see eye still shined like pretty light daddy used joke two u never believed wed really fall love mama smiled rolled eye said take back creek bed turned two riding truck need next take back time first fight slamming door instead kissing goodnight stayed outside til morning light year gone come around sitting favorite spot town looked got one knee take back time walked aisle whole town came mama cried said take home met many year well rock baby front porch time eightyseven eightynine still look like star shine sky,said wa seven nine looked like star shined sky pretty light daddy used joke two u growing falling love mama smiled rolled eye said take back house backyard tree said beat bigger never never take back world wa one block wide dared kiss ran tried two kid well wa sixteen suddenly little girl used see eye still shined like pretty light daddy used joke two u never believed wed really fall love mama smiled rolled eye said take back creek bed turned two riding truck need next take back time first fight slamming door instead kissing goodnight stayed outside til morning light year gone come around sitting favorite spot town looked got one knee take back time walked aisle whole town came mama cried said take home met many year well rock baby front porch time eightyseven eightynine still look like star shine sky
